,,,,,,,
School,Common Name,Teams,Location,State,Type,Division,D-I Sports
Stevenson University,Stevenson,Mustangs,Owings Mills,MD,Private,III,1
Texas A&M University–Kingsville,Texas A&M–Kingsville,Javelinas,Kingsville,TX,Public,II,1
Texas Woman's University,Texas Woman's,Pioneers,Denton,TX,Public,II,1
Thomas More University,Thomas More,Saints,Crestview Hills,KY,Private,II,1
The College of Saint Scholastica,St. Scholastica,Saints,Duluth,MN,Private,III,1
The University of Maine at Presque Isle,UMPI,Owls,Presque Isle,ME,Public,III,1
The University of Tampa,Tampa,Spartans,Tampa,FL,Private,II,1
Tufts University,Tufts,Jumbos,Medford,MA,Private,III,1
Tusculum University,Tusculum,Pioneers,Tusculum,TN,Private,II,2
Union College,Union College,Garnet Chargers,Schenectady,NY,Private,III,2
United States Coast Guard Academy,Coast Guard,Bears,New London,CT,Federal,III,1
University of Alaska Anchorage,Alaska Anchorage,Seawolves,Anchorage,AK,Public,II,1
University of Alaska Fairbanks,Alaska,Nanooks,Fairbanks,AK,Public,II,3
University of Bridgeport,Bridgeport,Purple Knights,Bridgeport,CT,Private,II,1
University of Central Missouri,Central Missouri,Mules,Warrensburg,MO,Public,II,1
University of Charleston,Charleston (West Virginia),Golden Eagles,Charleston,WV,Private,II,1
University of La Verne,La Verne,Leopards,La Verne,CA,Private,III,2
University of Minnesota Duluth,Minnesota Duluth,Bulldogs,Duluth,MN,Public,II,2
University of Mount Olive,Mount Olive,Trojans,Mount Olive,NC,Private,II,1
University of North Georgia,North Georgia,Nighthawks,Dahlonega,GA,Public,II,1
University of Pittsburgh at Bradford,Pitt–Bradford,Panthers,Bradford,PA,Public,III,1
University of Redlands,Redlands,Bulldogs,Redlands,CA,Private,III,2
University of Wisconsin–Eau Claire,Wisconsin–Eau Claire,Blugolds,Eau Claire,WI,Public,III,1
University of Wisconsin–La Crosse,Wisconsin–La Crosse,Eagles,La Crosse,WI,Public,III,1
University of Wisconsin–Oshkosh,Wisconsin–Oshkosh,Titans,Oshkosh,WI,Public,III,1
University of Wisconsin–Stout,Wisconsin–Stout,Blue Devils,Menomonie,WI,Public,III,1
University of Wisconsin–Whitewater,Wisconsin–Whitewater,Warhawks,Whitewater,WI,Public,III,2
Upper Iowa University,Upper Iowa,Peacocks,Fayette,IA,Private,II,1
Ursinus College,Ursinus,Bears,Collegeville,PA,Private,III,1
Ursuline College,Ursuline,Arrows,Pepper Pike,OH,Private,II,1
Utica University,Utica,Pioneers,Utica,NY,Private,III,1
Vassar College,Vassar,Brewers,Poughkeepsie,NY,Private,III,1
Virginia State University,Virginia State,Trojans,Ettrick,VA,Public,II,1
Virginia Union University,Virginia Union,Panthers,Richmond,VA,Private,II,1
Walsh University,Walsh,Cavaliers,North Canton,OH,Private,II,1
Washington & Jefferson College,Washington & Jefferson,Presidents,Washington,PA,Private,III,2
Wayne State College,Wayne State (Nebraska),Wildcats,Wayne,NE,Public,II,1
Wayne State University,Wayne State (Michigan),Warriors,Detroit,MI,Public,II,1
Wellesley College,Wellesley,Blue,Wellesley,MA,Private,III,2
West Chester University of Pennsylvania,West Chester,Golden Rams,West Chester,PA,Public,II,1
Westminster University,Westminster,Griffins,Salt Lake City,UT,Private,II,1
Whittier College,Whittier,Poets,Whittier,CA,Private,III,2
Williams College,Williams,Ephs,Williamstown,MA,Private,III,1
Wilmington University,Wilmington,Wildcats,New Castle,DE,Private,II,1
Wilson College,Wilson,Phoenix,Chambersburg,PA,Private,III,1
Winona State University,Winona State,Warriors,Winona,MN,Public,II,1
Wittenberg University,Wittenberg,Tigers,Springfield,OH,Private,III,1
Yeshiva University,Yeshiva,Maccabees,New York,NY,Private,III,2
